Id,PhoneNumber,Description
134,662251994,جمعية الامل العراقي - اربيل
135,662224122,جامعة صلاح الدين - اربيل
136,748126191,جامعة كويه
137,662273384,جامعة أربيل الطبية
138,7507381000,جامعة جيهان الاهلية
139,7507169400,جامعة سابيس الاهلية
140,662238665,جامعة كوردستان الاهلية
141,7711867393,جامعة دجلة الاهلية
142,662645661,جامعة أربيل الاهلية
143,7507565004,الجامعة اللبنانية الفرنسية
144,663506666,جامعة سوران
145,662522053,مصرف آراس
146,662549735,مصرف الرافدين
147,662227966,مصرف سفين
148,662230319,مصرف الرشيد
149,662230185,مصرف هريم
150,662569854,مصرف الفدرال
151,662535024,مصرف سوران
152,662528628,مصرف ديدوان
153,668632974,مصرف الرافدين فرع كويه
154,662559888,مصرف الاتحاد العراقي
155,7504456862,مصرف العراقى للتجارة
156,662561512,مصرف انتركونتيننتال اللبناني
157,662560017,مصرف بيبلوس اللبناني
158,662221001,مديرية شرطة اربيل - اربيل
159,7504460104,شرطة نجدة الطواريء - اربيل
160,66125,مديرية اطفاء اربيل - اربيل
161,663506881,مديرية شرطة سوران - اربيل
162,663590304,مديرية اطفاء سوران - اربيل
163,663502707,مديرية مرور سوران - اربيل
164,665220315,مركز شرطة شقلاوه - اربيل
165,665221330,شرطة مكافحة شقلاوه - اربيل
166,665220808,مديرية مرور شقلاوه - اربيل
167,7504527468,شرطة رواندز - اربيل
168,7504569956,شرطة ميركة سور
169,663505843,شرطة جومان - اربيل
170,668630930,مديرية شرطة كويه - اربيل
171,662640005,مديرية شرطة بنصلاوه - اربيل
172,662649380,مديرية اطفاء بنصلاوه - اربيل
173,662220230,امن (اسايش) - اربيل
174,662227444,شركة براتيك
175,662223991,شركة كورد تورز
176,7504520111,شركة شبق
177,7507402403,شركة الهانى تورز
178,662273332,شركة كشتيار
179,662545828,شركة الاحمدي
180,662227119,شركة بوكي دريا
181,662235492, M.T.S شركة
182,7504550555,شركة اجياد
183,7504093838, EVIAN شركة
184,7504454691,شركة منارة جولي
185,662228959,شركة جودت نادر
186,7504018333,شركة زوزك
187,662230937,شركة هريم
188,7504646102,شركة جاسم بيرداود عبدالله
189,7504450763,شركة 77
190,662230275,قاعة ميديا
191,662261597,قاعة الثقافة
192,662230274,قاعة الشعب
193,662223375,دائرة صيانة الكهرباء - اربيل
194,662238001,"دائرة صيانة هواتف - اربيل

"
195,188,المرور - دهوك
196,123,الاسايش - دهوك
197,177,شكاوي هيئة الاتصالات
198,7809141622,مكتب الخطوط الجوية في السعدون - بغداد
199,7809141620,مكتب الخطوط في الصالحية - بغداد
200,7809141621,مكتب شارع الرشيد - بغداد
201,7809141626,مكتب الاعظمية - بغداد
202,7809141628,مكتب فندق مريديان - بغداد
203,7809141623,مكتب الكاظمية - بغداد
204,7711915442,وزارة العمل والشؤون الاجتماعية 2 - بغداد
205,130,الخط الساخن لوزارة الداخلية
206,102,الاتصالات
207,7704239999,مديرية شرطة النجدة 1
208,7714259999,مديرية شرطة النجدة 2
209,7714269999,مديرية شرطة النجدة 3
210,7712870000,مديرية شرطة النجدة 4
211,404,الاستشارات الطبية
212,105,المديرية العامة لشرطة النجدة والدوريات
